pid,author,tid,title,kana,trans,kousakun,kousakuk,status,statusdate,original,publisher,editionn,editionk,ranking,access,characount,minutes
42,寺田 寅彦,4654,写生紀行,旧字旧仮名,,林幸雄,多羅尾伴内,公開,2003/11/28,現代日本紀行文学全集　東日本編,ほるぷ出版,1976（昭和51）年8月1日,1976（昭和51）年8月1日,,,,
42,寺田 寅彦,2504,自由画稿,新字新仮名,,（株）モモ,かとうかおり,公開,2003/3/28,寺田寅彦随筆集　第五巻,岩波文庫、岩波書店,1997（平成9）年9月5日第65刷,2001（平成13）年7月5日第67刷,,,,
42,寺田 寅彦,24412,重兵衛さんの一家,新字新仮名,,Nana ohbe,松永正敏,公開,2004/4/14,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,,,,,
42,寺田 寅彦,24415,障子の落書,新字新仮名,,Nana ohbe,松永正敏,公開,2004/4/14,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,,,,,
42,寺田 寅彦,2507,小爆発二件,新字新仮名,,（株）モモ,多羅尾伴内,公開,2003/11/28,寺田寅彦随筆集　第五巻,岩波文庫、岩波書店,1997（平成9）年9月5日第65刷,2001（平成13）年7月5日第67刷,,,,
42,寺田 寅彦,2483,蒸発皿,新字新仮名,,（株）モモ,かとうかおり,公開,2003/8/28,寺田寅彦随筆集　第四巻,岩波文庫、岩波書店,1995（平成7）年7月15日第63刷,1997（平成9）年6月13日第65刷,,,,
42,寺田 寅彦,42213,昭和二年の二科会と美術院,新字新仮名,,Cyobirin,浅原庸子,公開,2005/10/14,寺田寅彦全集　第四巻,岩波書店,1961（昭和36）年1月7日第1刷,　,,,,
42,寺田 寅彦,24414,書簡（Ⅰ）,新字新仮名,,Nana ohbe,青野弘美,公開,2006/11/23,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,1996（平成8）年12月5日,,,,
42,寺田 寅彦,24413,書簡（Ⅱ）,新字新仮名,,Nana ohbe,松永正敏,公開,2004/4/14,寺田寅彦全集　第一巻,岩波書店,1996（平成8）年12月5日,,,,,
42,寺田 寅彦,42263,初冬の日記から,新字新仮名,,Nana ohbe,砂場清隆,公開,2006/4/21,寺田寅彦全集　第四巻,岩波書店,1997（平成9）年3月5日,1997（平成9）年3月5日,,,,
42,寺田 寅彦,43078,塵埃と光,新字新仮名,,Nana ohbe,松永正敏,公開,2006/11/28,寺田寅彦全集　第六巻,岩波書店,1997（平成9）年5月6日,1997（平成9）年5月6日,,,,
42,寺田 寅彦,4671,震災日記より,新字新仮名,,砂場清隆,多羅尾伴内,公開,2003/11/16,寺田寅彦全集　第七巻,岩波書店,1997（平成9）年6月5日,1997（平成9）年6月5日,,,,
42,寺田 寅彦,4669,新春偶語,新字新仮名,,砂場清隆,多羅尾伴内,公開,2003/11/17,寺田寅彦全集　第七巻,岩波書店,1997（平成9）年6月5日,1997（平成9）年6月5日,,,,
42,寺田 寅彦,42264,新年雑俎,新字新仮名,,Nana ohbe,砂場清隆,公開,2006/3/11,寺田寅彦全集　第四巻,岩波書店,1997（平成9）年3月5日,1997（平成9）年3月5日,,,,
42,寺田 寅彦,2357,神話と地球物理学,新字新仮名,,（株）モモ,かとうかおり,公開,2000/10/3,寺田寅彦随筆集　第四巻,岩波文庫、岩波書店,1995（平成7）年7月15日第63刷,1997（平成9）年6月13日第65刷,,,,
42,寺田 寅彦,4361,随筆難,新字新仮名,,砂場清隆,青野弘美,公開,2006/6/8,寺田寅彦全集　第四巻,岩波書店,1997（平成9）年3月5日,,,,,
42,寺田 寅彦,2364,数学と語学,新字新仮名,,富田倫生,かとうかおり,公開,2000/10/3,日本の名随筆89　数,作品社,,,,,,
42,寺田 寅彦,33198,ステッキ,新字新仮名,,Cyobirin,佳代子,公開,2003/10/23,寺田寅彦全集　第六巻,岩波書店,1961（昭和36）年3月7日 第1刷,,,,,
42,寺田 寅彦,42229,スパーク,新字新仮名,,Nana ohbe,noriko saito,公開,2004/9/16,寺田寅彦全集　第三巻,岩波書店,1997（平成9）年2月5日,1997（平成9）年2月5日,,,,
42,寺田 寅彦,1689,相撲,新字新仮名,,富田倫生,かとうかおり,公開,2003/3/22,日本の名随筆　別巻2　相撲,作品社,1991（平成3）年4月25日第1刷,,,,,
42,寺田 寅彦,2459,青衣童女像,新字新仮名,,（株）モモ,かとうかおり,公開,2003/7/11,寺田寅彦随筆集　第三巻,岩波文庫、岩波書店,1993（平成5）年2月5日第59刷,1997（平成9）年9月5日第64刷,,,,
42,寺田 寅彦,2463,青磁のモンタージュ,新字新仮名,,（株）モモ,かとうかおり,公開,2003/7/11,寺田寅彦随筆集　第三巻,岩波文庫、岩波書店,1993（平成5）年2月5日第59刷,1997（平成9）年9月5日第64刷,,,,
42,寺田 寅彦,43253,石油ランプ,新字新仮名,,Nana ohbe,noriko saito,公開,2004/12/16,寺田寅彦全集　第七巻,岩波書店,1997（平成9）年6月5日,1997（平成9）年6月5日,,,,
42,寺田 寅彦,43079,瀬戸内海の潮と潮流,新字新仮名,,Nana ohbe,松永正敏,公開,2006/11/28,寺田寅彦全集　第六巻,岩波書店,1997（平成9）年5月6日,1997（平成9）年5月6日,,,,
42,寺田 寅彦,2434,先生への通信,新字新仮名,,田辺浩昭,かとうかおり,公開,2003/7/14,寺田寅彦随筆集　第一巻,岩波文庫、岩波書店,1997（平成9）年12月15日第81刷,1997（平成9）年12月15日第81刷,,,,
