pid,author,tid,title,kana,trans,kousakun,kousakuk,status,statusdate,original,publisher,editionn,editionk,ranking,access,characount,minutes
1562,吉川 英治,56144,源頼朝,新字新仮名,,門田裕志,トレンドイースト,公開,2016/10/6,源頼朝（一）,吉川英治歴史時代文庫、講談社,2012（平成24）年3月5日第20刷,2012（平成24）年3月5日第20刷,500,1930,339027,847.5675
1779,江戸川 乱歩,56679,魔法博士,新字新仮名,,sogo,茅宮君子,公開,2017/9/15,灰色の巨人／魔法博士,江戸川乱歩推理文庫、講談社,1988（昭和63）年3月8日第1刷,1988（昭和63）年3月8日第1刷,499,1930,77869,194.6725
1779,江戸川 乱歩,57230,ふしぎな人,新字新仮名,,sogo,北川松生,公開,2016/7/16,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005（平成17）年3月20日初版1刷,2005（平成17）年3月20日初版1刷,498,1932,44297,110.7425
718,新渡戸 稲造,50530,武士道の山,新字新仮名,,田中哲郎,ゆうき,公開,2010/4/27,新渡戸稲造論集,岩波文庫、岩波書店,2007（平成19）年5月16日第1刷,2007（平成19）年6月25日第2刷,497,1939,1698,4.245
879,芥川 竜之介,18,闇中問答,新字旧仮名,,j.utiyama,野口英司,公開,1998/3/24,現代日本文學大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,,496,1948,6261,15.6525
879,芥川 竜之介,29,カルメン,新字新仮名,,j.utiyama,田尻幹二,公開,1999/1/27,芥川龍之介全集6,ちくま文庫、筑摩書房,1993（平成5）年2月25日第6刷,1997（平成9）年4月15日第8刷,495,1950,2210,5.525
269,高神 覚昇,1543,般若心経講義,新字新仮名,,多田克也,大野晋、Juki,公開,2006/10/11,般若心経講義,角川文庫、角川書店,1967（昭和42）年5月30日改41版、1973（昭和48）年3月30日改版12版,1979（昭和54）年7月30日改版22版,494,1951,115907,289.7675
35,太宰 治,234,二十世紀旗手,新字新仮名,,柴田卓治,小林繁雄,公開,1999/8/7,太宰治全集2,ちくま文庫、筑摩書房,,,493,1952,14768,36.92
1562,吉川 英治,52405,鳴門秘帖 03 木曾の巻,新字新仮名,,門田裕志,トレンドイースト,公開,2013/4/12,鳴門秘帖（二）,吉川英治歴史時代文庫3、講談社,2008（平成20）年12月24日第22刷,2011（平成23）年4月1日第23刷,492,1952,64286,160.715
67,萩原 朔太郎,641,猫町 散文詩風な小説,新字新仮名,,ryoko masuda,浜野智,公開,1999/1/12,猫町　他十七篇,岩波文庫、岩波書店,1995（平成7）年5月16日第4刷,,491,1955,11227,28.0675
83,菊池 寛,502,父帰る,新字新仮名,,真先芳秋,野口英司,公開,1999/1/1,菊池寛　短篇と戯曲,文芸春秋,1988（昭和63）年3月25日第1刷,1988（昭和63）年3月25日第1刷,490,1958,7899,19.7475
10,大久保 ゆう,226,ボヘミアの醜聞,新字新仮名,大久保 ゆう,大久保ゆう,,公開,1998/12/28,,,,,489,1959,18580,46.45
9,ドイル アーサー・コナン,226,ボヘミアの醜聞,新字新仮名,大久保 ゆう,大久保ゆう,,公開,1998/12/28,,,,,489,1959,18580,46.45
879,芥川 竜之介,95,魔術,新字新仮名,,j.utiyama,かとうかおり,公開,1998/12/8,芥川龍之介全集3,ちくま文庫、筑摩書房,1996（平成8）年4月1日第8刷,1997（平成9）年4月15日第9刷,488,1960,8047,20.1175
35,太宰 治,54878,春夫と旅行できなかつた話,旧字旧仮名,,夏生ぐみ,焼野,公開,2018/6/19,太宰治全集11,筑摩書房,1999（平成11）年3月25日初版第1刷,1999（平成11）年3月25日初版第1刷,487,1963,436,1.09
1562,吉川 英治,52406,鳴門秘帖 04 船路の巻,新字新仮名,,門田裕志,トレンドイースト,公開,2013/4/15,鳴門秘帖（三）,吉川英治歴史時代文庫4、講談社,2009（平成21）年2月2日第21刷,2011（平成23）年6月1日第22刷,486,1964,152026,380.065
1128,文部省 ,43037,あたらしい憲法のはなし,旧字新仮名,,林幸雄,松永正敏,公開,2004/8/2,あたらしい憲法のはなし,日本平和委員会,2004年1月27日第38版,,485,1967,20905,52.2625
329,楠山 正雄,42314,ブレーメンの町楽隊,新字新仮名,楠山 正雄,大久保ゆう,浅原庸子,公開,2004/7/13,世界おとぎ文庫（グリム篇）森の小人,小峰書店,1949（昭和24）年12月30日4版, ,484,1969,4443,11.1075
1092,グリム ヴィルヘルム・カール,42314,ブレーメンの町楽隊,新字新仮名,楠山 正雄,大久保ゆう,浅原庸子,公開,2004/7/13,世界おとぎ文庫（グリム篇）森の小人,小峰書店,1949（昭和24）年12月30日4版, ,484,1969,4443,11.1075
1091,グリム ヤーコプ・ルートヴィッヒ・カール,42314,ブレーメンの町楽隊,新字新仮名,楠山 正雄,大久保ゆう,浅原庸子,公開,2004/7/13,世界おとぎ文庫（グリム篇）森の小人,小峰書店,1949（昭和24）年12月30日4版, ,484,1969,4443,11.1075
119,中島 敦,1738,弟子,新字新仮名,,大内章,川向直樹,公開,2004/10/12,ちくま日本文学全集　中島敦,筑摩書房,1992（平成4）年7月20日第1刷,,483,1971,29207,73.0175
1779,江戸川 乱歩,56675,鉄塔の怪人,新字新仮名,,sogo,大久保ゆう,公開,2016/11/22,鉄塔の怪人／海底の魔術師,江戸川乱歩推理文庫、講談社,1988（昭和63）年2月8日第1刷,1988（昭和63）年2月8日第1刷,482,1972,83652,209.13
64,樋口 一葉,55671,たけくらべ,旧字旧仮名,,万波通彦,猫の手ぴい,公開,2018/5/2,文藝倶樂部第二卷第五編,博文館,1896（明治29）年4月,1896（明治29）年4月,481,1978,59321,148.3025
1566,柳田 国男,52505,山の人生,新字新仮名,,Nana ohbe,川山隆,公開,2013/5/23,遠野物語　山の人生,岩波文庫、岩波書店,2010（平成22）年3月5日第50刷,1988（昭和63）年10月5日第18刷,480,1979,130351,325.8775
879,芥川 竜之介,74,片恋,新字新仮名,,j.utiyama,かとうかおり,公開,1998/12/7,芥川龍之介全集2,ちくま文庫、筑摩書房,1996（平成8）7月15日第11刷,1996（平成8）7月15日第11刷,479,1982,4889,12.2225
158,島崎 藤村,843,新生,新字新仮名,,Ｈ・大野,かとうかおり,公開,2000/3/23,新生（下）,新潮文庫、新潮社,1983（昭和58）年2月15日第41刷,,478,1982,368959,922.3975
1383,谷崎 潤一郎,56847,少将滋幹の母,新字新仮名,,kompass,酒井裕二,公開,2016/3/9,少将滋幹の母,中公文庫、中央公論社,2006（平成18）年3月25日初版,2006（平成18）年3月25日初版,477,1992,93240,233.1
40,織田 作之助,47052,天衣無縫,新字新仮名,,桃沢まり,小林繁雄,公開,2008/8/30,定本織田作之助全集　第二巻,文泉堂出版,1995（平成7）年3月20日第3版,1995（平成7）年3月20日第3版,476,1997,12983,32.4575
1934,柳原 白蓮,58413,私の思い出,新字新仮名,,雪森,富田晶子,公開,2018/1/1,柳原白蓮エッセイ集　ことたま,河出書房新社,2015（平成27）年11月30日初版,2015（平成27）年11月30日初版,475,1998,4018,10.045
1779,江戸川 乱歩,57193,一人二役,新字新仮名,,門田裕志,A.K.,公開,2016/8/31,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,474,2009,7301,18.2525
1072,和田 万吉,48310,竹取物語,旧字旧仮名,,しだひろし,noriko saito,公開,2011/5/8,竹取物語・今昔物語・謠曲物語,復刻版日本兒童文庫、名著普及会,1981（昭和56）年8月20日,1981（昭和56）年8月20日,473,2009,12916,32.29
1779,江戸川 乱歩,57108,鉄人Ｑ,新字新仮名,,sogo,大久保ゆう,公開,2017/3/16,塔上の奇術師／鉄人Ｑ,江戸川乱歩推理文庫、講談社,1988（昭和63）年7月8日第1刷,1988（昭和63）年7月8日第1刷,472,2010,77034,192.585
96,夢野 久作,2382,悪魔祈祷書,新字新仮名,,林裕司,浜野智,公開,1998/11/10,夢野久作怪奇幻想傑作選　あやかしの鼓,角川ホラー文庫、角川書店,,,471,2012,13746,34.365
1670,野村 胡堂,56278,銭形平次捕物控 002 振袖源太,新字新仮名,,特定非営利活動法人はるかぜ,結城宏,公開,2018/1/12,銭形平次捕物控（七）平次女難,嶋中文庫、嶋中書店,2004（平成16）年11月20日第1刷,2004（平成16）年11月20日第1刷 ,470,2015,14261,35.6525
158,島崎 藤村,1503,千曲川のスケッチ,新字新仮名,,割子田数哉,松永正敏,公開,2001/1/9,千曲川のスケッチ,新潮文庫、新潮社,1998（平成10）年8月25日68刷,1998（平成10）年8月25日68刷,469,2017,92512,231.28
885,与謝野 晶子,2557,晶子詩篇全集,新字旧仮名,,武田秀男,kazuishi,公開,2004/7/25,晶子詩篇全集,実業之日本社,1929（昭和4）年1月20日,1929（昭和4）年1月20日,468,2017,109584,273.96
52,紫式部 ,5025,源氏物語 10 榊,新字新仮名,与謝野 晶子,上田英代,小林繁雄,公開,2003/7/28,全訳源氏物語　上巻,角川文庫、角川書店,1994（平成6）年12月20日56版,2002（平成14）年4月5日71版,467,2026,31242,78.105
885,与謝野 晶子,5025,源氏物語 10 榊,新字新仮名,与謝野 晶子,上田英代,小林繁雄,公開,2003/7/28,全訳源氏物語　上巻,角川文庫、角川書店,1994（平成6）年12月20日56版,2002（平成14）年4月5日71版,467,2026,31242,78.105
1670,野村 胡堂,56314,銭形平次捕物控 003 大盗懺悔,新字新仮名,,特定非営利活動法人はるかぜ,結城宏,公開,2018/1/17,銭形平次捕物控（四）城の絵図面,嶋中文庫、嶋中書店,2004（平成16）年8月20日第1刷,2004（平成16）年8月20日第1刷,466,2030,13750,34.375
1404,河口 慧海,49966,チベット旅行記,新字新仮名,,川山隆,仙酔ゑびす,公開,2011/10/7,チベット旅行記（一）,講談社学術文庫、講談社,2007（平成19）年12月3日第43刷,,465,2038,573955,1434.8875
879,芥川 竜之介,21,浅草公園 或シナリオ,新字新仮名,,j.utiyama,かとうかおり,公開,1999/2/1,芥川龍之介全集6,ちくま文庫、筑摩書房,1993（平成5）年2月25日第6刷,,464,2040,9953,24.8825
1095,坂口 安吾,42840,不良少年とキリスト,新字新仮名,,tatsuki,小林繁雄,公開,2006/12/26,坂口安吾全集　06,筑摩書房,1998（平成10）年7月20日初版第1刷,1998（平成10）年7月20日初版第1刷,463,2042,14083,35.2075
10,大久保 ゆう,55881,緋のエチュード,新字新仮名,大久保 ゆう,大久保ゆう,,公開,2013/2/2,,,,,462,2043,94719,236.7975
9,ドイル アーサー・コナン,55881,緋のエチュード,新字新仮名,大久保 ゆう,大久保ゆう,,公開,2013/2/2,,,,,462,2043,94719,236.7975
1562,吉川 英治,52408,鳴門秘帖 06 鳴門の巻,新字新仮名,,門田裕志,トレンドイースト,公開,2013/4/22,鳴門秘帖（三）,吉川英治歴史時代文庫4、講談社,2009（平成21）年2月2日第21刷,2009（平成21）年2月2日第21刷,461,2052,66751,166.8775
1779,江戸川 乱歩,57518,殺人迷路 05 （連作探偵小説第五回）,新字新仮名,,金城学院大学　電子書籍制作,noriko saito,公開,2018/10/9,江戸川乱歩全集　第8巻　目羅博士の不思議な犯罪,光文社文庫、光文社,2004（平成16）年6月20日初版1刷,2004（平成16）年6月20日初版1刷,460,2052,8624,21.56
95,佐々木 直次郎,2526,早すぎる埋葬,新字新仮名,佐々木 直次郎,江村秀之,鈴木厚司,公開,2005/3/6,モルグ街の殺人事件,新潮文庫、新潮社,1998（平成10）年12月25日78刷,,459,2054,16193,40.4825
94,ポー エドガー・アラン,2526,早すぎる埋葬,新字新仮名,佐々木 直次郎,江村秀之,鈴木厚司,公開,2005/3/6,モルグ街の殺人事件,新潮文庫、新潮社,1998（平成10）年12月25日78刷,,459,2054,16193,40.4825
148,夏目 漱石,792,思い出す事など,新字新仮名,,柴田卓治,伊藤時也,公開,1999/6/26,夏目漱石全集7,ちくま文庫、筑摩書房,1988（昭和63）年4月26日第1刷,1996（平成8）年3月1日第3刷,458,2054,68096,170.24
1779,江戸川 乱歩,56672,虎の牙,新字新仮名,,sogo,大久保ゆう,公開,2017/4/14,虎の牙／透明怪人,江戸川乱歩推理文庫、講談社,1987（昭和62）年12月8日第1刷,1987（昭和62）年12月8日第1刷,457,2055,95864,239.66
35,太宰 治,1576,新ハムレット,新字新仮名,,細渕真弓,細渕紀子,公開,2003/2/6,新ハムレット,新潮文庫、新潮社,1998（平成10）年7月20日33刷,,456,2056,98371,245.9275
1779,江戸川 乱歩,56676,灰色の巨人,新字新仮名,,sogo,茅宮君子,公開,2017/7/13,灰色の巨人／魔法博士,江戸川乱歩推理文庫、講談社,1988（昭和63）年3月8日第1刷,1988（昭和63）年3月8日第1刷,455,2063,78778,196.945
19,アンデルセン ハンス・クリスチャン,42383,人魚のひいさま,新字新仮名,楠山 正雄,大久保ゆう,秋鹿,公開,2006/3/6,新訳アンデルセン童話集第一巻,同和春秋社,1955（昭和30）年7月20日初版,1955（昭和30）年7月20日初版,454,2064,29898,74.745
329,楠山 正雄,42383,人魚のひいさま,新字新仮名,楠山 正雄,大久保ゆう,秋鹿,公開,2006/3/6,新訳アンデルセン童話集第一巻,同和春秋社,1955（昭和30）年7月20日初版,1955（昭和30）年7月20日初版,454,2064,29898,74.745
50,泉 鏡花,43466,高野聖,新字旧仮名,,砂場清隆,門田裕志,公開,2007/3/18,新編　泉鏡花集　第八巻,岩波書店,2004（平成16）年1月7日第1刷,2004（平成16）年1月7日第1刷,453,2066,71459,178.6475
886,泉 鏡太郎,43466,高野聖,新字旧仮名,,砂場清隆,門田裕志,公開,2007/3/18,新編　泉鏡花集　第八巻,岩波書店,2004（平成16）年1月7日第1刷,2004（平成16）年1月7日第1刷,453,2066,71459,178.6475
1383,谷崎 潤一郎,57442,金色の死,新字新仮名,,HAR,悠悠自炊,公開,2018/7/24,お艶殺し,中公文庫、中央公論社,1993（平成5）年6月10日,1993（平成5）年6月10日,452,2074,23293,58.2325
1235,カフカ フランツ,49867,流刑地で,新字新仮名,原田 義人,kompass,青空文庫,公開,2011/1/13,世界文学大系58　カフカ,筑摩書房,1960（昭和35）年4月10日,1960（昭和35）年4月10日,451,2075,31946,79.865
1396,原田 義人,49867,流刑地で,新字新仮名,原田 義人,kompass,青空文庫,公開,2011/1/13,世界文学大系58　カフカ,筑摩書房,1960（昭和35）年4月10日,1960（昭和35）年4月10日,451,2075,31946,79.865
52,紫式部 ,5023,源氏物語 08 花宴,新字新仮名,与謝野 晶子,上田英代,小林繁雄,公開,2003/7/22,全訳源氏物語　上巻,角川文庫、角川書店,1994（平成6）年12月20日56版,2002（平成14）年4月5日71版,450,2076,6873,17.1825
885,与謝野 晶子,5023,源氏物語 08 花宴,新字新仮名,与謝野 晶子,上田英代,小林繁雄,公開,2003/7/22,全訳源氏物語　上巻,角川文庫、角川書店,1994（平成6）年12月20日56版,2002（平成14）年4月5日71版,450,2076,6873,17.1825
1562,吉川 英治,56762,新書太閤記 11 第十一分冊,新字新仮名,,門田裕志,トレンドイースト,公開,2016/8/11,新書太閤記（十一）,吉川英治歴史時代文庫、講談社,2007（平成19）年3月1日第19刷,2015（平成27）年3月2日第23刷,449,2077,209294,523.235
9,ドイル アーサー・コナン,43523,自転車嬢の危難,新字新仮名,三上 於菟吉,京都大学電子テクスト研究会入力班,京都大学電子テクスト研究会校正班,公開,2005/1/21,世界探偵小説全集　第四卷　シヤーロツク・ホームズの歸還,平凡社,1929（昭和4）年10月5日,,448,2078,23907,59.7675
310,三上 於菟吉,43523,自転車嬢の危難,新字新仮名,三上 於菟吉,京都大学電子テクスト研究会入力班,京都大学電子テクスト研究会校正班,公開,2005/1/21,世界探偵小説全集　第四卷　シヤーロツク・ホームズの歸還,平凡社,1929（昭和4）年10月5日,,448,2078,23907,59.7675
1095,坂口 安吾,42877,青鬼の褌を洗う女,新字新仮名,,tatsuki,oterudon,公開,2007/9/1,坂口安吾全集　05,筑摩書房,1998（平成10）年6月20日初版第1刷,1998（平成10）年6月20日初版第1刷,447,2078,40488,101.22
879,芥川 竜之介,20,或旧友へ送る手記,新字旧仮名,,j.utiyama,小浜真由美,公開,1998/4/20,現代日本文學大系　43　芥川龍之介集,筑摩書房,1968（昭和43）年8月25日初版第1刷,,446,2079,3530,8.825
81,宮沢 賢治,472,やまなし,新字旧仮名,,石井健児,高橋美奈子,公開,1998/10/26,宮沢賢治全集8,ちくま文庫、筑摩書房,,1998（平成10）年4月1日第16刷,445,2081,2743,6.8575
1779,江戸川 乱歩,57502,探偵小説の「謎」,新字新仮名,,華猫,まつもこ,公開,2017/7/28,新版　探偵小説の「謎」,現代教養文庫、社会思想社,1999（平成11）年4月30日新版第1刷,1999（平成11）年4月30日新版第1刷,444,2090,120080,300.2
329,楠山 正雄,42316,星の銀貨,新字新仮名,楠山 正雄,大久保ゆう,浅原庸子,公開,2004/7/13,世界おとぎ文庫（グリム篇）森の小人,小峰書店,1949（昭和24）年12月30日4版, ,443,2092,1074,2.685
1092,グリム ヴィルヘルム・カール,42316,星の銀貨,新字新仮名,楠山 正雄,大久保ゆう,浅原庸子,公開,2004/7/13,世界おとぎ文庫（グリム篇）森の小人,小峰書店,1949（昭和24）年12月30日4版, ,443,2092,1074,2.685
1091,グリム ヤーコプ・ルートヴィッヒ・カール,42316,星の銀貨,新字新仮名,楠山 正雄,大久保ゆう,浅原庸子,公開,2004/7/13,世界おとぎ文庫（グリム篇）森の小人,小峰書店,1949（昭和24）年12月30日4版, ,443,2092,1074,2.685
35,太宰 治,2288,葉,新字新仮名,,加藤るみ,深水英一郎,公開,1999/10/7,晩年,新潮文庫、新潮社,1998（平成10）年7月20日第103刷,,442,2093,10121,25.3025
119,中島 敦,1743,光と風と夢,新字新仮名,,kompass,伊藤時也,公開,2001/8/3,昭和文学全集　第7巻,小学館,,,441,2094,85296,213.24
1579,室生 犀星,53503,蜜のあわれ,新字新仮名,,日根敏晶,江村秀之,公開,2017/8/1,蜜のあわれ・われはうたえどもやぶれかぶれ,講談社文芸文庫、講談社,1993（平成5）年5月10日第1刷,1993（平成5）年5月10日第1刷,440,2098,78235,195.5875
879,芥川 竜之介,122,或日の大石内蔵助,新字新仮名,,野口英司,もりみつじゅんじ,公開,1997/11/17,芥川龍之介全集2,ちくま文庫、筑摩書房,1996（平成8）年7月15日第11刷,,439,2099,10436,26.09
1779,江戸川 乱歩,56690,おれは二十面相だ,新字新仮名,,sogo,大久保ゆう,公開,2018/10/21,おれは二十面相だ／妖星人Ｒ,江戸川乱歩推理文庫、講談社,1988（昭和63）年9月8日第1刷,1988（昭和63）年9月8日第1刷,438,2106,52533,131.3325
35,太宰 治,46597,青森,新字新仮名,,蒋龍,土屋隆,公開,2006/12/28,もの思う葦,新潮文庫、新潮社,1998（平成10）年10月15日39刷,2002（平成14）年5月30日42刷改版,437,2117,679,1.6975
1779,江戸川 乱歩,57188,算盤が恋を語る話,新字新仮名,,門田裕志,A.K.,公開,2016/7/28,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,436,2124,8350,20.875
1383,谷崎 潤一郎,56643,少年,新字新仮名,,砂場清隆,門田裕志,公開,2016/6/25,潤一郎ラビリンスⅠ――初期短編集,中公文庫、中央公論社,1998（平成10）年5月18日初版,2012（平成24）年7月10日3刷,435,2138,24614,61.535
35,太宰 治,246,畜犬談 ―伊馬鵜平君に与える―,新字新仮名,,網迫,田尻幹二,公開,1999/4/12,日本文学全集70　太宰治集,集英社,,,434,2144,12849,32.1225
1869,山本 周五郎,57495,青べか物語,新字新仮名,,富田晶子,Juki、栗原もなこ,公開,2018/8/16,青べか物語,新潮文庫、新潮社,2006（平成18）年3月20日69刷,2015（平成27）年6月25日80刷,433,2152,171856,429.64
168,横光 利一,907,機械,新字新仮名,,佐藤和人,かとうかおり,公開,1998/8/13,定本　横光利一全集　第三卷,河出書房新社,1981（昭和56）年9月30日初版,,432,2154,21662,54.155
1779,江戸川 乱歩,57226,かいじん二十めんそう,新字新仮名,,sogo,北川松生,公開,2016/6/9,江戸川乱歩全集　第21巻　ふしぎな人,光文社文庫、光文社,2005（平成17）年3月20日初版1刷,2005（平成17）年3月20日初版1刷,431,2156,12562,31.405
1562,吉川 英治,52431,私本太平記 11 筑紫帖,新字新仮名,,門田裕志,トレンドイースト,公開,2013/1/29,私本太平記（七）,吉川英治歴史時代文庫、講談社,2009（平成21）年12月1日第25刷,2009（平成21）年12月1日第25刷,430,2159,97413,243.5325
52,紫式部 ,5022,源氏物語 07 紅葉賀,新字新仮名,与謝野 晶子,上田英代,kompass,公開,2003/7/22,全訳源氏物語　上巻,角川文庫、角川書店,1994（平成6）年12月20日56版,2002（平成14）年4月5日71版,429,2163,17589,43.9725
885,与謝野 晶子,5022,源氏物語 07 紅葉賀,新字新仮名,与謝野 晶子,上田英代,kompass,公開,2003/7/22,全訳源氏物語　上巻,角川文庫、角川書店,1994（平成6）年12月20日56版,2002（平成14）年4月5日71版,429,2163,17589,43.9725
81,宮沢 賢治,1943,風野又三郎,新字新仮名,,土屋隆,高柳典子,公開,2008/4/21,ポラーノの広場,新潮文庫、新潮社,1997（平成9）年5月25日3刷,2006（平成18）年3月25日第7刷,428,2183,34105,85.2625
879,芥川 竜之介,56,犬と笛,新字新仮名,,j.utiyama,かとうかおり,公開,1998/12/7,芥川龍之介全集2,ちくま文庫、筑摩書房,1996（平成8）7月15日第11刷,1996（平成8）7月15日第11刷,427,2185,8915,22.2875
1562,吉川 英治,52430,私本太平記 10 風花帖,新字新仮名,,門田裕志,トレンドイースト,公開,2013/1/26,私本太平記（七）,吉川英治歴史時代文庫、講談社,2009（平成21）年12月1日第25刷,2009（平成21）年12月1日第25刷,426,2189,136338,340.845
35,太宰 治,1562,朝,新字新仮名,,蒋龍,鈴木厚司,公開,2004/3/4,グッド・バイ,新潮文庫、新潮社,1999（平成11）年6月10日56刷,1990（平成2）年6月20日40刷,425,2195,3140,7.85
50,泉 鏡花,3407,夜叉ヶ池,新字新仮名,,門田裕志,染川隆俊,公開,2002/2/22,泉鏡花集成7,ちくま文庫、筑摩書房,1995（平成7）年12月4日第1刷,1995（平成7）年12月4日第1刷,424,2197,33885,84.7125
1562,吉川 英治,52404,鳴門秘帖 02 江戸の巻,新字新仮名,,門田裕志,トレンドイースト,公開,2013/4/9,鳴門秘帖（一）,吉川英治歴史時代文庫2、講談社,2004（平成16）年1月9日第20刷,2008（平成20）年7月1日第23刷,423,2200,155418,388.545
50,泉 鏡花,1087,婦系図,新字新仮名,,真先芳秋,かとうかおり,公開,2000/8/17,泉鏡花集成12,ちくま文庫、筑摩書房,1997（平成9）年1月23日第1刷,,422,2213,207332,518.33
879,芥川 竜之介,59,邪宗門,新字新仮名,,j.utiyama,かとうかおり,公開,1998/12/7,芥川龍之介全集2,ちくま文庫、筑摩書房,1996（平成8）7月15日第11刷,1996（平成8）7月15日第11刷,421,2213,48109,120.2725
1869,山本 周五郎,57838,赤ひげ診療譚 05 徒労に賭ける,新字新仮名,,特定非営利活動法人はるかぜ,北川松生,公開,2018/10/24,山本周五郎全集第十一巻　赤ひげ診療譚・五瓣の椿,新潮社,1981（昭和56）年10月25日,1981（昭和56）年10月25日,420,2217,18814,47.035
52,紫式部 ,5024,源氏物語 09 葵,新字新仮名,与謝野 晶子,上田英代,kompass,公開,2003/7/26,全訳源氏物語　上巻,角川文庫、角川書店,1994（平成6）年12月20日56版,2002（平成14）年4月5日71版,419,2219,30339,75.8475
885,与謝野 晶子,5024,源氏物語 09 葵,新字新仮名,与謝野 晶子,上田英代,kompass,公開,2003/7/26,全訳源氏物語　上巻,角川文庫、角川書店,1994（平成6）年12月20日56版,2002（平成14）年4月5日71版,419,2219,30339,75.8475
879,芥川 竜之介,24454,藪の中,旧字旧仮名,,高柳典子,岡山勝美,公開,2012/3/25,現代日本文學全集　第三〇篇　芥川龍之介集,改造社,1928（昭和3）年1月9日,1928（昭和3）年1月9日　,418,2221,15359,38.3975
1562,吉川 英治,52429,私本太平記 09 建武らくがき帖,新字新仮名,,門田裕志,トレンドイースト,公開,2013/1/23,私本太平記（五）,吉川英治歴史時代文庫、講談社,2009（平成21）年10月1日第25刷,2009（平成21）年10月1日第25刷,417,2223,142869,357.1725
35,太宰 治,2254,嘘,新字新仮名,,柴田卓治,もりみつじゅんじ,公開,2000/2/1,太宰治全集8,ちくま文庫、筑摩書房,,,416,2223,8645,21.6125
1779,江戸川 乱歩,57165,まほうやしき,新字新仮名,,sogo,みきた,公開,2017/1/15,文庫の雑誌／ぼくらの推理冒険物語　少年探偵王　本格推理マガジン,光文社文庫、光文社,2002（平成14）年4月20日初版1刷,2002（平成14）年4月20日初版1刷,415,2224,5579,13.9475
1566,柳田 国男,57903,名字の話,新字新仮名,,フクポー,砂場清隆,公開,2018/8/8,柳田國男全集20,ちくま文庫、筑摩書房,1990（平成2）年7月31日第1刷,1990（平成2）年7月31日第1刷,414,2228,25115,62.7875
1562,吉川 英治,52432,私本太平記 12 湊川帖,新字新仮名,,門田裕志,トレンドイースト,公開,2013/2/1,私本太平記（七）,吉川英治歴史時代文庫、講談社,2009（平成21）年12月1日第25刷,2009（平成21）年12月1日第25刷,413,2231,134302,335.755
1475,小川 未明,51005,赤いろうそくと人魚,新字新仮名,,門田裕志,仙酔ゑびす,公開,2012/1/1,定本小川未明童話全集　1,講談社,1977（昭和52）年C第3刷,1977（昭和52）年C第3刷,412,2245,11271,28.1775
95,佐々木 直次郎,42338,盗まれた手紙,新字新仮名,佐々木 直次郎,鈴木厚司,小酒井博士,公開,2004/5/24,モルグ街の殺人事件,新潮文庫、新潮社,1986（昭和61）年10月15日59刷,1987（昭和62）年4月5日60刷,411,2248,21173,52.9325
94,ポー エドガー・アラン,42338,盗まれた手紙,新字新仮名,佐々木 直次郎,鈴木厚司,小酒井博士,公開,2004/5/24,モルグ街の殺人事件,新潮文庫、新潮社,1986（昭和61）年10月15日59刷,1987（昭和62）年4月5日60刷,411,2248,21173,52.9325
1562,吉川 英治,52427,私本太平記 07 千早帖,新字新仮名,,門田裕志,トレンドイースト,公開,2013/1/17,私本太平記（四）,吉川英治歴史時代文庫、講談社,2009（平成21）年12月1日第26刷,2009（平成21）年12月1日第26刷,410,2250,128888,322.22
25,有島 武郎,206,小さき者へ,新字新仮名,,鈴木厚司,鈴木厚司,公開,1999/2/13,小さき者へ・生れ出づる悩み,新潮文庫、新潮社,1986（昭和61）年4月30日発行改版63刷,,409,2251,10898,27.245
1779,江戸川 乱歩,57185,黒手組,新字新仮名,,門田裕志,岡村和彦,公開,2016/11/10,江戸川乱歩全集　第1巻　屋根裏の散歩者,光文社文庫、光文社,2012（平成24）年8月15日7刷,2004（平成16）年7月20日初版1刷,408,2251,18825,47.0625
1562,吉川 英治,52428,私本太平記 08 新田帖,新字新仮名,,門田裕志,トレンドイースト,公開,2013/1/20,私本太平記（五）,吉川英治歴史時代文庫、講談社,2009（平成21）年10月1日第25刷,2009（平成21）年10月1日第25刷,407,2256,134479,336.1975
1779,江戸川 乱歩,57513,木馬は廻る,新字新仮名,,金城学院大学　電子書籍制作,まつもこ,公開,2018/8/29,江戸川乱歩全集　第3巻　陰獣,光文社文庫、光文社,2005（平成17）年11月20日初版1刷,2005（平成17）年11月20日初版1刷,406,2259,10743,26.8575
879,芥川 竜之介,35,英雄の器,新字新仮名,,j.utiyama,かとうかおり,公開,1998/12/7,芥川龍之介全集2,ちくま文庫、筑摩書房,1996（平成8）7月15日第11刷,1996（平成8）7月15日第11刷,405,2264,1881,4.7025
1095,坂口 安吾,56814,堕落論〔続堕落論〕,新字新仮名,,Nana ohbe,酒井裕二,公開,2016/2/17,堕落論・日本文化私観　他二十二篇,岩波文庫、岩波書店,2013（平成25）年4月5日第6刷,2014（平成26）年11月14日第7刷,404,2265,8076,20.19
